v1,v2
92,228
92,304
92,426
92,453
92,465
92,617
92,665
92,694
92,765
92,815
92,321
92,339
92,209
94,264
94,400
94,637
94,660
94,871
94,446
94,1021
94,565
94,962
94,447
96,127
96,682
96,774
96,791
96,858
96,1023
96,1081
96,570
96,369
96,77
101,120
101,216
101,349
101,527
101,545
101,572
101,761
101,1005
101,1012
101,76
101,201
101,809
105,310
105,454
105,583
105,992
105,1006
106,261
106,403
106,637
106,764
106,866
106,898
106,1016
106,1048
106,276
106,278
106,544
106,1056
109,139
109,259
109,307
109,484
109,496
109,556
109,919
109,975
109,53
109,84
109,118
109,256
109,1080
112,312
112,696
112,728
112,782
112,916
112,1044
112,1082
112,170
112,521
112,640
112,683
112,861
112,970
112,989
112,1047
114,236
114,373
114,399
114,1059
114,478
117,416
117,485
117,519
117,520
117,890
117,930
117,1058
117,111
117,463
117,581
117,653
117,707
119,124
119,189
119,381
119,582
119,871
119,278
119,508
119,638
120,207
120,382
120,464
120,737
120,747
120,916
120,1017
120,1081
120,179
120,450
120,569
123,329
123,682
123,699
123,721
123,905
123,1100
123,91
123,376
123,844
123,891
124,344
124,375
124,501
124,856
124,1035
124,1044
124,688
124,942
126,252
126,262
126,879
126,1003
127,149
127,379
127,541
127,563
127,564
127,575
127,866
127,1076
127,170
127,816
128,408
128,410
128,506
128,595
128,771
128,829
128,960
128,407
128,193
129,182
129,342
129,672
129,741
129,894
129,910
129,944
129,978
131,294
131,355
131,363
131,502
131,555
131,609
131,684
131,946
131,135
131,656
136,163
136,409
136,422
136,587
136,810
136,855
136,974
136,1097
136,33
136,365
136,1055
139,362
139,767
139,170
139,1000
139,1094
139,440
140,152
140,247
140,279
140,382
140,473
140,812
140,1013
140,1050
140,321
140,585
140,193
141,267
141,307
141,485
141,527
141,754
141,986
141,997
141,26
141,82
141,972
141,708
146,375
146,381
146,512
146,960
146,988
146,1043
146,26
146,56
146,938
146,1024
146,193
147,682
147,866
147,916
147,932
147,1005
147,26
147,417
147,521
147,656
147,547
147,193
149,308
149,1050
150,413
150,759
150,812
150,838
150,858
150,986
150,99
150,570
151,191
151,271
151,555
151,684
151,691
151,1023
151,1032
151,1091
151,164
151,600
151,967
151,1054
151,1059
151,868
151,718
152,228
152,265
152,298
152,359
152,432
152,748
152,831
152,858
152,969
156,207
156,373
156,388
156,487
156,497
156,676
156,696
156,717
156,788
156,851
156,1027
156,1093
156,299
156,321
156,488
156,681
156,606
160,609
160,620
160,629
160,711
160,744
160,1082
160,135
160,653
160,780
160,547
160,639
162,434
162,490
162,717
162,799
162,981
162,614
162,1094
163,205
163,252
163,387
163,431
163,593
163,830
163,1016
163,435
163,439
163,970
163,877
165,247
165,409
165,434
165,587
165,901
165,954
165,91
167,381
167,484
167,525
167,532
167,560
167,771
167,829
167,864
167,417
167,906
167,1028
171,312
171,316
171,342
171,501
171,541
171,612
171,618
171,622
171,674
171,376
171,906
173,506
173,764
173,95
173,623
173,978
174,212
174,489
174,580
174,700
174,796
174,439
174,624
174,772
176,326
176,359
176,519
176,591
176,744
176,1011
176,493
176,808
182,469
182,793
182,802
182,935
182,1075
182,135
182,230
182,386
182,707
182,804
182,900
182,891
183,262
183,459
183,522
183,626
183,789
183,925
183,185
183,199
183,670
187,402
187,510
187,545
187,554
187,33
187,345
187,570
187,731
188,232
188,309
188,313
188,518
188,541
188,621
188,740
189,313
189,392
189,505
189,507
189,818
189,890
189,1017
189,299
189,338
189,346
189,891
191,248
191,362
191,459
191,593
191,33
191,942
195,283
195,310
195,381
195,405
195,537
195,545
195,930
195,1043
195,1049
195,601
195,826
195,201
195,808
200,453
200,556
200,1049
200,25
205,380
205,416
205,660
205,33
205,601
205,804
205,816
205,869
205,1054
205,868
205,740
206,326
206,381
206,781
206,796
206,1027
206,491
206,623
207,317
207,326
207,583
207,983
207,1027
207,1072
207,967
207,857
210,389
210,416
210,490
210,696
210,710
210,818
210,887
210,937
210,941
210,983
210,1069
210,1091
210,456
210,811
212,364
212,467
212,479
212,587
212,744
212,818
212,831
212,95
212,797
212,394
212,1094
215,287
215,353
215,392
215,402
215,1097
215,179
215,723
216,475
216,522
216,564
216,704
216,21
216,159
216,772
216,989
217,362
217,388
217,472
217,684
217,724
217,924
217,581
217,738
217,394
227,252
227,404
227,832
227,542
227,211
228,389
228,496
228,538
228,880
228,439
228,778
228,834
228,874
228,945
232,264
232,353
232,397
232,490
232,658
232,664
232,737
232,1016
232,861
232,942
232,989
232,689
236,473
236,499
236,512
236,554
236,612
236,570
236,688
236,978
239,259
239,316
239,818
239,884
239,951
239,1084
239,340
239,966
239,121
239,314
241,476
241,507
241,550
241,1044
241,463
241,638
246,525
246,648
246,665
246,851
246,1007
246,1000
246,1053
246,639
247,271
247,413
247,586
247,759
247,1006
247,79
247,341
247,544
247,942
247,335
247,859
247,1070
247,857
248,387
248,572
248,706
248,800
248,923
248,979
248,981
248,1027
248,444
248,928
248,374
252,326
252,498
252,620
252,673
252,694
252,799
252,910
252,963
252,1035
252,1084
252,311
252,624
253,481
253,654
253,900
253,1021
253,962
257,387
257,527
257,696
257,706
257,756
257,739
257,770
257,842
257,993
259,316
259,791
259,830
259,992
259,1097
259,886
259,900
261,296
261,382
261,402
261,583
261,954
261,1078
261,218
261,671
261,678
261,888
261,328
261,718
262,756
262,168
262,492
262,907
262,1021
262,447
264,265
264,322
264,481
264,892
264,1006
264,513
264,868
264,708
265,1081
265,80
266,320
266,322
266,418
266,1081
266,346
266,399
266,640
266,906
266,891
266,209
266,811
267,301
267,583
267,600
267,683
267,369
267,690
271,382
271,504
271,587
271,663
271,700
271,795
271,796
271,934
271,1013
271,1039
271,230
271,482
271,508
271,549
271,600
271,603
274,332
274,1068
274,21
274,875
274,928
274,989
274,718
274,440
274,1070
279,280
279,375
279,379
279,409
279,724
279,741
279,776
279,788
279,941
279,1006
279,1058
279,456
280,691
280,508
280,942
280,1021
280,695
283,515
283,537
283,802
283,118
283,600
283,989
283,1046
284,288
284,304
284,329
284,355
284,760
284,957
284,1032
284,1076
284,1079
284,1098
284,135
284,172
284,570
284,601
284,891
285,295
285,315
285,490
285,572
285,666
285,255
285,524
285,549
285,980
285,859
286,443
286,635
286,665
286,781
286,144
286,772
286,874
286,440
287,375
287,445
287,502
287,522
287,599
287,631
287,1004
287,299
287,1042
287,27
288,347
288,538
288,553
288,617
288,711
288,724
288,764
288,821
288,851
288,904
288,1032
288,1048
288,942
288,966
291,400
291,593
291,1087
291,76
291,321
291,338
291,1000
292,464
292,744
292,1002
292,299
292,597
292,647
292,804
292,1026
292,1042
292,394
292,708
293,475
293,871
293,901
293,656
294,538
294,586
294,699
294,762
294,793
294,930
294,988
294,738
294,350
295,660
295,230
295,645
295,681
295,714
295,773
295,358
296,342
296,487
296,643
296,697
296,781
296,319
296,500
296,785
296,938
297,550
297,586
297,599
297,631
297,879
298,489
298,684
298,782
298,957
298,185
298,483
298,647
298,859
301,502
301,973
301,1044
301,425
301,581
302,347
302,349
302,551
302,582
302,622
302,665
302,684
302,800
302,981
302,1097
302,339
302,734
302,471
302,209
303,422
303,1034
303,638
303,889
303,335
303,193
304,387
304,628
304,724
304,871
304,968
304,1078
304,222
304,331
304,549
304,857
307,372
307,643
307,735
307,843
307,973
307,82
307,549
307,552
307,636
308,347
308,355
308,409
308,761
308,860
308,925
308,957
308,192
308,354
308,577
308,621
308,623
308,977
309,595
309,769
309,890
309,894
309,919
309,1031
309,159
309,886
310,381
310,389
310,684
310,424
312,344
312,443
312,583
312,748
312,944
312,1090
312,361
312,386
312,585
312,723
313,398
313,413
313,860
313,995
313,623
313,743
313,869
315,320
315,332
315,563
315,692
315,1041
315,482
315,1092
315,461
316,380
316,515
316,818
316,890
316,923
316,331
316,524
316,859
317,514
317,1001
317,1035
317,500
320,400
320,501
320,984
320,1013
320,1017
320,199
322,433
322,622
322,815
322,968
322,33
322,144
322,157
322,861
322,959
322,989
322,1080
322,868
326,502
326,514
326,651
326,756
326,941
326,957
326,1031
326,423
326,647
326,816
326,897
326,966
326,97
329,396
329,472
329,484
329,563
329,605
329,642
329,711
329,721
329,767
329,820
329,879
329,482
329,513
329,534
329,870
329,1047
329,289
329,238
329,314
332,422
332,584
332,591
332,904
332,965
332,974
332,1007
332,161
332,321
332,1080
333,748
333,769
333,858
333,350
337,375
337,451
337,496
337,756
337,965
337,144
342,448
342,573
342,905
342,906
342,1046
342,209
342,859
344,459
344,464
344,605
344,910
344,947
344,957
344,995
344,1007
344,306
344,383
347,958
347,988
347,340
347,521
347,869
349,384
349,504
349,858
349,865
349,984
349,1013
349,1003
353,384
353,412
353,413
353,538
353,550
353,764
353,805
353,880
353,947
353,1005
353,1041
353,229
353,263
353,639
353,1070
355,628
355,765
355,969
355,1004
355,1083
355,683
359,451
359,551
359,622
359,661
359,754
359,880
359,1004
359,1087
359,544
359,785
362,405
362,660
362,79
362,772
362,740
363,469
363,490
363,580
363,635
363,311
363,562
363,623
363,1009
363,808
363,461
364,418
364,593
364,744
364,417
364,861
364,335
364,314
372,593
372,696
372,765
372,855
372,909
372,923
372,937
372,144
372,577
372,1080
372,977
373,408
373,550
373,658
373,704
373,800
373,840
373,1004
373,1031
373,1093
373,33
373,601
373,624
373,693
373,780
375,556
375,735
375,871
375,934
375,900
377,799
377,879
377,1045
379,537
379,832
379,953
379,1076
379,653
380,843
380,1004
380,1084
380,80
380,600
380,647
381,473
381,858
381,1004
381,1078
381,144
381,942
381,703
382,554
382,694
382,2
382,1000
382,857
384,591
384,765
384,800
384,882
384,884
384,562
384,566
384,803
384,877
387,529
387,563
387,630
387,642
387,661
387,783
387,879
387,1072
387,834
387,844
387,121
388,403
388,728
388,783
388,802
388,887
388,931
388,992
388,714
388,811
389,610
389,651
389,840
389,862
389,1004
389,82
389,99
389,492
389,558
389,289
389,565
389,1052
392,467
392,473
392,519
392,580
392,756
392,791
392,890
392,911
392,935
392,1027
392,1063
392,144
392,581
392,772
392,834
392,912
392,67
393,567
393,872
393,954
393,1090
393,340
393,803
395,580
395,728
395,946
395,982
395,1013
395,164
395,178
395,319
395,681
395,914
396,963
396,1082
396,874
396,242
397,519
397,892
397,1068
397,172
397,179
397,255
397,542
397,875
397,1059
398,512
398,711
398,1091
398,99
398,897
398,907
398,980
398,1094
400,582
400,856
400,905
400,100
402,627
402,923
402,932
402,934
402,1026
403,551
403,815
403,1031
403,685
403,834
403,886
403,360
403,877
403,614
404,974
404,1069
404,424
404,482
404,623
404,624
404,638
404,702
404,708
405,586
405,620
405,1007
405,1087
405,91
405,549
405,569
405,914
405,1046
405,328
408,412
408,445
408,694
408,781
408,855
408,44
408,250
408,569
408,842
409,426
409,504
409,582
409,662
410,629
410,845
410,1054
410,1059
412,574
412,781
412,799
412,1005
412,1063
412,488
412,780
412,804
412,915
413,893
413,1073
413,508
413,752
413,834
414,832
414,1067
414,743
414,695
416,489
416,504
416,533
416,555
416,593
416,643
416,696
416,792
416,862
416,931
416,71
416,311
416,570
416,703
418,1010
418,1019
418,493
418,552
418,1054
418,97
418,1070
422,481
422,931
422,25
422,118
422,311
422,444
422,874
422,881
422,219
422,708
426,464
426,553
426,584
426,799
426,895
426,930
426,960
426,424
426,488
426,542
426,570
428,583
428,831
428,838
428,904
428,44
428,491
428,834
428,1020
431,737
431,1007
431,1039
431,168
431,552
431,585
431,1054
431,565
432,666
432,1079
432,111
432,723
432,938
432,873
433,925
433,1006
433,1078
433,482
433,685
433,219
433,436
434,932
434,1041
434,915
434,1009
441,851
441,963
441,1006
441,1012
441,354
443,84
443,1045
445,481
445,1068
445,1076
445,647
445,780
445,874
448,582
448,345
448,685
448,743
448,336
451,637
451,660
451,892
451,909
451,957
451,981
453,560
453,932
453,1034
453,1059
453,447
453,670
454,527
454,741
454,229
454,278
454,557
454,1045
454,740
459,555
459,711
459,331
459,869
459,977
459,978
464,567
464,627
464,799
464,895
464,1010
464,1012
464,178
464,493
464,702
465,631
465,724
465,1050
465,1067
465,26
465,44
465,601
466,831
466,68
466,76
466,906
466,1047
466,263
466,859
467,487
467,792
467,848
467,997
467,1013
467,168
467,278
467,456
467,915
467,826
469,490
469,510
469,769
469,1017
469,1043
469,192
469,97
472,507
472,311
472,859
473,545
473,642
473,666
473,456
473,577
473,857
475,818
475,832
475,1006
475,1023
475,1043
475,192
475,345
475,483
475,597
475,713
475,440
476,527
476,627
476,632
476,704
476,879
476,951
476,973
476,982
476,399
476,656
479,529
479,617
479,643
479,1002
479,91
479,778
481,591
481,748
481,1013
481,1049
481,82
481,276
481,653
481,962
484,573
484,760
484,1061
484,80
484,321
484,834
484,1056
484,367
484,639
484,1024
485,1049
485,1084
485,2
485,76
485,79
485,229
485,240
485,1018
485,289
485,242
485,471
485,873
486,673
486,1049
486,1068
486,178
487,510
487,769
487,1035
489,522
489,543
489,831
489,960
489,1034
489,319
489,656
489,804
489,870
489,335
489,808
489,314
490,541
490,848
490,1016
490,1041
490,1072
490,56
490,345
490,361
490,407
490,581
490,653
490,702
496,499
496,573
496,904
496,1007
496,1035
496,483
496,844
496,1000
496,826
497,502
497,563
497,744
497,765
497,910
497,923
497,944
497,656
497,928
497,1080
497,873
498,1039
498,638
498,440
499,651
499,909
499,1068
499,82
499,581
499,647
499,743
499,689
501,648
501,661
501,909
501,985
501,986
501,1005
502,992
502,192
502,444
504,538
504,1031
504,714
504,1062
505,1041
505,1048
505,656
506,537
506,553
506,586
506,617
506,660
506,782
506,880
506,376
506,406
506,577
506,797
506,447
507,612
507,807
507,229
507,240
507,683
507,1025
510,573
510,574
510,879
510,979
512,532
512,543
512,710
512,800
512,1041
512,456
512,962
512,841
514,591
514,627
514,736
514,872
514,905
514,953
514,985
515,747
515,801
515,887
515,973
515,982
515,179
515,656
518,630
518,704
518,904
518,932
518,1004
518,1082
518,1084
518,199
518,435
518,671
518,970
518,1053
519,674
519,711
519,728
519,249
519,1054
519,97
520,563
520,583
520,1058
520,1061
520,306
520,439
520,562
520,1020
522,538
522,605
522,965
522,256
522,513
522,478
523,550
523,555
523,700
523,815
523,832
523,973
523,1011
523,1019
523,719
525,700
525,810
525,278
525,331
525,585
525,1025
527,706
527,894
527,975
527,1067
527,915
527,1094
529,725
529,905
529,734
529,962
529,447
529,873
532,550
532,801
532,562
533,111
533,463
533,544
533,601
533,804
533,881
533,201
533,1064
537,983
537,985
537,76
537,417
537,647
537,656
537,959
537,1092
538,550
538,628
538,664
538,758
538,762
538,800
538,911
538,919
538,157
538,493
538,780
538,30
541,628
541,661
541,898
541,178
541,641
541,1052
541,689
543,564
543,625
543,711
543,789
543,361
545,805
545,947
545,1007
545,1011
545,306
545,826
550,796
550,968
550,603
550,77
550,1024
551,765
551,981
551,1019
551,172
553,666
553,901
553,932
553,1069
553,1084
553,263
553,67
553,811
553,314
554,582
554,605
554,618
554,622
554,995
554,1002
554,1078
554,914
555,593
555,664
555,851
555,946
555,965
555,1079
555,623
555,350
556,925
556,1044
556,25
556,71
556,566
556,707
556,1000
556,209
560,637
560,866
560,157
560,306
560,492
560,731
560,1000
560,1018
563,856
563,417
563,1047
563,868
563,857
564,654
564,91
564,407
564,452
564,570
564,360
567,666
567,725
567,748
567,865
567,968
572,676
572,704
572,967
573,651
573,706
573,764
573,796
573,647
573,842
573,27
574,595
574,1075
574,1100
574,230
574,311
574,569
574,739
574,1018
574,447
574,978
575,895
575,925
575,222
575,278
575,521
575,1028
580,886
580,1059
582,632
582,789
582,830
582,832
582,838
582,549
582,577
583,776
583,947
583,1048
583,569
583,891
583,1062
584,691
584,1004
584,346
584,621
584,990
584,1020
586,663
586,682
586,760
586,812
586,1025
586,811
586,859
587,673
587,694
587,1011
587,1019
587,1043
587,1091
587,278
587,883
591,807
591,923
591,68
591,569
591,993
593,611
593,737
593,1061
593,75
593,640
593,1052
593,436
593,809
595,799
595,898
595,1039
595,172
595,707
595,967
595,606
599,717
599,1034
599,218
599,1045
605,934
605,71
605,566
605,752
609,764
609,800
609,1023
609,1027
609,1034
609,1076
609,2
609,118
609,914
609,1000
609,193
610,935
610,452
610,508
610,27
611,815
611,821
611,843
611,890
611,979
611,111
611,255
611,804
612,299
612,557
612,211
617,992
617,1044
617,386
617,399
617,656
617,688
617,876
617,335
618,724
618,864
618,958
618,1063
618,1087
618,255
618,276
618,743
618,914
618,959
618,1052
620,642
620,661
620,354
620,407
620,645
620,30
622,666
622,843
622,872
622,968
622,993
625,879
625,889
625,616
626,985
626,1087
626,693
627,684
627,721
627,1073
627,549
627,681
627,842
627,1059
627,709
627,394
628,737
628,792
628,832
628,645
628,942
628,695
628,859
629,947
629,71
629,488
629,990
629,30
629,1092
630,673
630,791
630,884
630,923
630,376
630,521
630,534
630,797
630,803
630,670
631,1063
631,68
631,170
631,229
631,249
631,683
632,776
632,820
632,865
632,981
632,1072
632,240
632,340
632,444
632,474
632,601
632,1026
635,879
635,892
635,80
635,1028
635,1024
637,643
637,829
637,831
637,992
637,170
637,834
637,1021
637,478
642,919
642,983
642,2
642,255
642,993
642,1009
642,873
643,765
643,954
643,144
643,250
643,474
643,558
643,857
648,793
648,1008
648,1076
648,68
648,690
651,795
651,1004
651,172
651,255
651,601
651,928
651,358
651,458
654,866
654,916
654,1063
654,172
658,699
658,1005
658,1035
658,383
658,386
660,983
660,995
660,21
660,225
660,478
661,736
661,801
661,862
661,893
661,911
661,199
661,876
661,942
661,27
663,756
663,944
663,960
663,1031
663,44
663,276
663,897
663,201
664,862
664,474
664,394
665,829
665,1044
665,311
665,797
665,461
665,1070
666,871
666,25
666,250
666,690
672,796
673,717
673,769
673,1027
673,311
673,319
673,450
673,636
673,888
673,1000
674,1023
674,483
674,562
674,566
674,970
674,1025
676,791
676,919
676,937
676,671
676,1047
682,694
682,737
682,807
682,860
684,931
684,276
684,1055
684,358
684,440
691,1027
691,179
691,354
691,693
691,740
691,97
692,694
692,683
692,687
692,238
694,815
694,856
694,968
694,1067
694,623
694,886
694,906
694,335
696,278
696,647
696,881
696,27
697,789
697,796
697,815
697,981
697,439
697,1020
699,818
699,821
699,856
699,865
699,982
699,75
699,79
699,597
699,219
700,821
700,947
700,1068
700,407
700,842
700,874
700,471
700,201
704,815
704,984
704,1097
704,1026
704,1059
704,877
704,193
706,838
706,860
706,1079
706,534
706,907
706,374
710,800
710,919
710,1078
710,53
710,192
710,881
711,759
711,831
711,1010
711,1027
711,159
711,346
717,856
717,874
717,942
717,938
721,764
721,769
721,975
721,71
721,640
721,780
721,886
721,360
721,639
721,30
724,995
724,869
725,736
725,135
725,361
725,500
725,1055
725,447
725,1094
728,774
728,1005
728,339
728,808
728,702
735,995
735,229
735,601
735,714
735,719
736,843
736,1068
736,1082
736,192
736,399
737,756
737,311
737,446
737,797
737,242
741,776
741,1010
741,1016
741,179
741,199
741,249
741,406
741,844
741,1062
744,979
744,984
744,985
744,1067
744,26
744,597
744,713
744,857
745,789
745,904
745,919
747,1061
747,1097
747,552
747,914
747,972
747,709
748,788
748,230
748,331
748,452
748,463
748,797
748,989
754,1087
754,222
754,249
754,524
754,1018
754,242
754,458
755,879
755,1075
755,491
755,374
755,809
756,800
756,802
756,871
756,937
756,981
756,1044
756,492
758,901
758,979
758,341
758,491
758,121
758,30
759,946
759,75
759,417
759,713
759,778
760,788
760,68
760,222
760,399
760,803
760,1009
760,689
761,423
761,1056
761,708
762,799
762,974
762,164
762,341
762,581
762,928
762,868
764,862
764,276
764,1025
764,1045
764,1080
764,201
764,436
765,791
765,376
765,407
765,1053
767,805
767,807
767,845
767,861
767,989
767,1028
767,690
767,367
769,1001
769,1090
769,688
769,1028
769,740
771,338
771,967
771,993
771,1047
774,855
774,887
774,957
774,1073
774,407
774,636
774,993
774,1003
774,374
776,871
776,91
776,170
776,914
776,358
781,1073
781,521
781,558
781,714
781,869
781,369
781,962
782,838
782,2
782,645
782,842
782,844
783,840
783,1043
783,558
783,731
783,912
783,718
788,1093
788,346
789,1010
789,671
789,1070
791,919
791,1011
791,778
792,1007
792,1013
792,492
792,552
792,778
792,1009
793,76
793,915
793,1045
796,544
796,875
796,709
796,689
799,172
799,386
799,419
799,350
800,988
800,1001
800,1067
800,1081
800,452
800,844
801,1069
801,980
801,709
802,995
805,898
805,982
805,1078
805,164
805,168
807,953
807,963
807,1069
807,276
807,306
807,77
810,68
810,482
810,27
812,884
812,979
812,331
812,341
812,785
812,1053
812,808
815,975
815,493
815,209
818,862
818,901
818,923
818,1063
818,135
818,376
818,606
820,983
820,376
820,562
820,647
820,1024
821,973
821,319
821,383
821,816
821,336
829,958
829,1008
829,1078
829,1081
829,569
829,577
830,321
830,360
830,336
831,923
831,869
831,886
831,841
832,695
838,855
838,884
838,178
838,914
840,1001
840,111
840,653
840,743
840,970
840,977
840,97
843,256
843,450
843,993
843,773
845,930
845,311
845,446
848,995
848,1016
848,707
851,930
851,600
851,834
851,201
855,985
855,100
855,463
856,1067
856,1081
856,542
856,915
856,883
858,647
858,834
858,1009
858,219
858,1064
860,941
860,1073
860,383
860,714
860,1028
862,919
862,988
862,118
862,278
862,425
862,67
862,670
864,947
864,1049
864,534
864,914
864,374
864,209
864,877
864,689
865,930
865,986
865,1008
865,144
866,645
866,1045
866,565
871,932
871,256
871,713
871,834
871,886
871,336
871,695
872,399
872,552
872,695
879,981
879,435
879,915
879,740
880,916
880,450
880,718
882,977
882,826
882,616
884,425
884,685
884,989
884,873
884,689
887,982
887,1005
887,1006
887,1023
887,144
887,456
887,653
887,734
887,436
890,521
890,834
890,945
890,1009
890,289
890,695
890,547
892,937
892,963
892,26
892,623
892,328
893,1050
893,439
893,780
893,886
893,478
894,79
894,276
894,341
894,383
894,624
894,263
894,639
895,225
895,493
895,876
895,891
898,975
898,1067
898,185
898,446
898,474
898,638
898,201
898,718
901,240
901,276
901,341
904,1068
904,1069
904,75
904,178
904,739
904,915
904,808
905,988
905,995
905,1100
905,82
905,569
909,916
909,1013
909,557
909,569
909,885
909,689
910,946
910,953
910,135
910,222
911,75
911,778
911,780
911,876
919,979
919,984
919,144
919,566
919,695
919,97
923,1067
923,1064
924,1016
924,1049
924,641
924,770
924,1026
925,685
925,1080
925,458
930,1058
930,84
930,900
930,1025
930,1047
931,2
931,75
931,82
931,192
931,439
932,1008
932,1011
932,1075
932,581
932,702
932,1052
934,1010
934,500
934,524
934,876
934,478
935,1031
935,1039
935,1043
935,456
935,638
937,954
937,95
937,311
937,945
937,695
937,662
941,111
941,374
941,335
941,367
944,1012
944,452
944,834
946,299
946,354
946,500
946,638
946,752
946,785
946,874
946,263
946,350
947,683
947,738
947,772
951,1075
951,79
951,311
951,121
951,1024
953,963
953,982
953,1097
953,603
954,984
954,164
954,478
958,1069
958,340
958,1055
958,335
958,614
960,463
960,549
960,875
960,547
963,100
963,256
963,331
963,493
963,1042
965,1059
965,471
965,883
965,859
968,1007
968,331
968,439
968,314
969,80
969,600
969,238
969,471
973,1001
973,1083
973,345
973,346
973,456
973,972
974,1039
974,488
974,600
974,653
974,1054
975,966
979,179
979,804
981,1075
981,255
981,346
981,752
982,1098
982,314
983,842
984,1002
984,688
984,875
984,1028
984,1094
985,168
985,425
985,570
985,808
986,250
986,435
986,719
986,772
988,1058
988,172
988,914
988,773
988,1092
992,1039
992,222
992,695
992,808
995,255
995,552
997,1072
1001,2
1002,1016
1002,1087
1002,1097
1002,249
1002,557
1002,870
1002,702
1005,33
1005,230
1005,456
1005,1046
1005,877
1005,358
1006,132
1006,179
1006,945
1007,1049
1007,513
1007,641
1008,1058
1008,144
1008,970
1008,30
1010,1048
1010,157
1010,570
1010,30
1010,857
1011,1050
1011,491
1011,876
1011,1064
1012,1087
1012,33
1012,425
1012,653
1012,707
1012,869
1012,1026
1012,1080
1013,1100
1013,80
1013,338
1013,842
1013,972
1013,662
1016,483
1016,645
1016,671
1016,808
1017,91
1017,172
1017,229
1017,886
1017,358
1017,606
1019,1023
1019,752
1019,885
1019,873
1019,1092
1019,978
1023,1003
1023,367
1027,340
1027,731
1027,842
1027,970
1027,980
1027,67
1027,211
1031,361
1031,797
1031,773
1032,1093
1032,250
1032,547
1035,2
1035,640
1035,685
1035,889
1035,314
1035,841
1039,492
1039,671
1039,967
1039,565
1039,883
1041,1098
1041,888
1041,1000
1041,238
1043,713
1044,2
1044,407
1048,26
1048,488
1048,731
1048,458
1049,1063
1049,56
1049,192
1049,1054
1049,219
1049,702
1049,358
1050,1072
1050,647
1050,959
1050,938
1050,773
1058,84
1058,386
1058,1062
1061,225
1061,621
1061,645
1061,27
1063,1073
1063,306
1063,407
1063,456
1063,557
1063,990
1067,399
1067,524
1067,544
1067,570
1067,289
1067,1092
1068,192
1068,463
1068,670
1069,521
1069,1003
1072,394
